accession	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_13	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_14	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_13,GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_14	2	aca1,acrif5
GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_22	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_22	GCA_019857505.1_ASM1985750v1_genomic_all_plasmids.part_CP077996.1_22	1	ardk
GCA_019857525.1_ASM1985752v1_genomic_all_plasmids.part_CP077998.1	GCA_019857525.1_ASM1985752v1_genomic_all_plasmids.part_CP077998.1_ardc_1	Anti_RM	ardc	Antidefense	GCA_019857525.1_ASM1985752v1_genomic_all_plasmids.part_CP077998.1_15	GCA_019857525.1_ASM1985752v1_genomic_all_plasmids.part_CP077998.1_15	GCA_019857525.1_ASM1985752v1_genomic_all_plasmids.part_CP077998.1_15	1	ardc
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_ardb_klca_acric11_6	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_2	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_2	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_2	1	klca
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_ardk_7	Anti_RM	ardk	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_72	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_72	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_72	1	ardk
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_80	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_80	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_80	1	acrif5
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_81	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_81	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_81	1	acrif3
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrie1_1	Anti_CRISPR	acrie1	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_82	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_82	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_82	1	acrie1
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrif5_5	Anti_CRISPR	acrif5	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_124	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_124	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_124	1	acrif5
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_125	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_125	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_125	1	acrif3
GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_ardk_8	Anti_RM	ardk	Antidefense	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_139	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_139	GCA_019857545.1_ASM1985754v1_genomic_all_plasmids.part_CP078000.1_139	1	ardk
GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_2	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_2	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_2	1	klca
GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_49	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_51	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_49,GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_51	2	aca1,acrif3
GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_50	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_51	GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_50,GCA_019857565.1_ASM1985756v1_genomic_all_plasmids.part_CP078003.1_51	2	aca1,acrif5
GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_2	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_2	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_2	1	klca
GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_12	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_12	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_12	1	ardk
GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_56	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_58	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_56,GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_58	2	aca1,acrif3
GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_57	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_58	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_57,GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_58	2	aca1,acrif5
GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_ardk_6	Anti_RM	ardk	Antidefense	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_81	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_81	GCA_019857585.1_ASM1985758v1_genomic_all_plasmids.part_CP078005.1_81	1	ardk
GCA_019857625.1_ASM1985762v1_genomic_all_plasmids.part_CP078008.1	GCA_019857625.1_ASM1985762v1_genomic_all_plasmids.part_CP078008.1_ardb_klca_acric11_1	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019857625.1_ASM1985762v1_genomic_all_plasmids.part_CP078008.1_16	GCA_019857625.1_ASM1985762v1_genomic_all_plasmids.part_CP078008.1_16	GCA_019857625.1_ASM1985762v1_genomic_all_plasmids.part_CP078008.1_16	1	klca
GCA_019857645.1_ASM1985764v1_genomic_all_plasmids.part_CP078010.1	GCA_019857645.1_ASM1985764v1_genomic_all_plasmids.part_CP078010.1_ardb_klca_acric11_1	Anti_RM	ardb_klca_acric11	Antidefense	GCA_019857645.1_ASM1985764v1_genomic_all_plasmids.part_CP078010.1_22	GCA_019857645.1_ASM1985764v1_genomic_all_plasmids.part_CP078010.1_22	GCA_019857645.1_ASM1985764v1_genomic_all_plasmids.part_CP078010.1_22	1	klca
GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_8	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_8	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_8	1	ardk
GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_acrie1_2	Anti_CRISPR	acrie1	Antidefense	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_26	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_29	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_26,GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_29	2	aca1,acrie1
GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_27	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_29	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_27,GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_29	2	aca1,acrif3
GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_28	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_29	GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_28,GCA_020771755.1_ASM2077175v1_genomic_all_plasmids.part_CP086017.1_29	2	aca1,acrif5
GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_ardk_4	Anti_RM	ardk	Antidefense	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_7	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_7	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_7	1	ardk
GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_24	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_26	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_24,GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_26	2	aca1,acrif3
GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_25	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_26	GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_25,GCA_021166335.2_ASM2116633v2_genomic_all_plasmids.part_CP089066.2_26	2	aca1,acrif5
GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_acrif3_1	Anti_CRISPR	acrif3	Antidefense	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_4	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_4	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_4	1	acrif3
GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_ardk_2	Anti_RM	ardk	Antidefense	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_14	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_14	GCA_021184245.1_ASM2118424v1_genomic_all_plasmids.part_CP089237.1_14	1	ardk
GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_ardk_5	Anti_RM	ardk	Antidefense	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_12	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_12	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_12	1	ardk
GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_acrie2_2	Anti_CRISPR	acrie2	Antidefense	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_29	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_32	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_29,GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_32	2	aca1,acrie2
GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_30	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_32	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_30,GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_32	2	aca1,acrif3
GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_acrif5_4	Anti_CRISPR	acrif5	Antidefense	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_31	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_32	GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_31,GCA_021513295.1_ASM2151329v1_genomic_all_plasmids.part_CP068679.1_32	2	aca1,acrif5
GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_ardc_2	Anti_RM	ardc	Antidefense	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_73	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_73	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_73	1	ardc
GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_Aca_alone_1	Anti_CRISPR	Aca_alone	Antidefense	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_145	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_145	GCA_022570415.1_ASM2257041v1_genomic_all_plasmids.part_CP093029.1_145	1	aca4
GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_ardk_4	Anti_RM	ardk	Antidefense	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_8	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_8	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_8	1	ardk
GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_acrie1_2	Anti_CRISPR	acrie1	Antidefense	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_24	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_26	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_24,GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_26	2	aca1,acrie1
GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_acrif3_3	Anti_CRISPR	acrif3	Antidefense	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_25	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_26	GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_25,GCA_022649245.1_ASM2264924v1_genomic_all_plasmids.part_CP093359.1_26	2	aca1,acrif3
GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_ardc_2	Anti_RM	ardc	Antidefense	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_69	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_69	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_69	1	ardc
GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_Aca_alone_1	Anti_CRISPR	Aca_alone	Antidefense	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_134	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_134	GCA_022700635.2_ASM2270063v2_genomic_all_plasmids.part_CP061074.2_134	1	aca4
GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_acrie1_3	Anti_CRISPR	acrie1	Antidefense	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_7	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_10	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_7,GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_10	2	aca1,acrie1
GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_acric4_2	Anti_CRISPR	acric4	Antidefense	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_9	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_10	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_9,GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_10	2	aca1,acric4
GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_ardk_4	Anti_RM	ardk	Antidefense	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_18	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_18	GCA_023066865.1_ASM2306686v1_genomic_all_plasmids.part_CP090651.1_18	1	ardk
GCA_023093935.1_ASM2309393v1_genomic_all_plasmids.part_CP095771.1	GCA_023093935.1_ASM2309393v1_genomic_all_plasmids.part_CP095771.1_Aca_alone_1	Anti_CRISPR	Aca_alone	Antidefense	GCA_023093935.1_ASM2309393v1_genomic_all_plasmids.part_CP095771.1_4	GCA_023093935.1_ASM2309393v1_genomic_all_plasmids.part_CP095771.1_4	GCA_023093935.1_ASM2309393v1_genomic_all_plasmids.part_CP095771.1_4	1	aca4
GCA_023093975.1_ASM2309397v1_genomic_all_plasmids.part_CP095775.1	GCA_023093975.1_ASM2309397v1_genomic_all_plasmids.part_CP095775.1_ardk_1	Anti_RM	ardk	Antidefense	GCA_023093975.1_ASM2309397v1_genomic_all_plasmids.part_CP095775.1_14	GCA_023093975.1_ASM2309397v1_genomic_all_plasmids.part_CP095775.1_14	GCA_023093975.1_ASM2309397v1_genomic_all_plasmids.part_CP095775.1_14	1	ardk
GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_3	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_3	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_3	1	klca
GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_19	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_21	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_19,GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_21	2	aca1,acrif3
GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_20	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_21	GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_20,GCA_024300845.1_ASM2430084v1_genomic_all_plasmids.part_CP094852.1_21	2	aca1,acrif5
GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_ardb_klca_acric11_4	Anti_RM	ardb_klca_acric11	Antidefense	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_3	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_3	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_3	1	klca
GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_ardb_klca_acric11_5	Anti_RM	ardb_klca_acric11	Antidefense	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_20	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_20	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_20	1	klca
GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_46	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_48	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_46,GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_48	2	aca1,acrif3
GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_acrif3_2	Anti_CRISPR	acrif3	Antidefense	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_46	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_48	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_46,GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_48	2	aca1,acrif3
GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_acrif5_3	Anti_CRISPR	acrif5	Antidefense	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_46	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_47	GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_46,GCA_024652945.3_ASM2465294v3_genomic_all_plasmids.part_CP104872.1_47	2	aca1,acrif5
